"RentedBikes","Hour","Temperature","Humidity","Wind.speed","Visibility","Dew.point.temperature","Solar.Radiation","Rainfall","Snowfall","Holiday"
621,15,8,73,1.6,433,3.4,0.53,0,0,2
598,16,7.6,77,1.6,399,3.8,0.2,0,0,2
545,17,6.7,82,1.5,358,3.8,0.05,0,0,2
443,18,6,84,1.9,327,3.4,0,0,0,2
422,19,5.7,85,1.7,309,3.3,0,0,0,2
397,20,5.2,87,1.4,253,3.2,0,0,0,2
385,21,4.7,87,1.2,247,2.7,0,0,0,2
350,22,4.3,89,1.8,201,2.6,0,0,0,2
303,23,3.9,90,1.3,194,2.4,0,0,0,2
285,0,4.2,88,0.6,216,2.3,0,0,0,2
186,1,4.3,87,0.5,221,2.3,0,0,0,2
112,2,4.4,87,1.8,207,2.4,0,0,0,2
65,3,3.6,85,2.3,206,1.3,0,0,0,2
41,4,2.8,89,1.5,130,1.1,0,0,0,2
82,5,2,83,2.7,253,-0.5,0,0,0,2
200,6,1.2,76,3.7,371,-2.5,0,0.1,0,2
498,7,0.2,68,3.4,702,-5,0,0,0,2
937,8,-0.8,69,3.5,954,-5.7,0.01,0,0,2
509,9,-1.5,47,4.2,1888,-11.3,0.22,0,0,2
311,10,-1.1,40,4.5,2000,-13,0.64,0,0,2
379,11,-0.5,41,4.1,1799,-12.1,0.94,0,0,2
393,12,-0.3,38,4.8,1823,-12.9,1.11,0,0,2
391,13,0,30,5.4,1938,-15.5,1.17,0,0,2
338,14,0.1,27,4.5,2000,-16.7,1.09,0,0,2
341,15,-0.1,25,5.8,2000,-17.8,0.88,0,0,2
375,16,-0.2,23,4.7,2000,-18.8,0.55,0,0,2
515,17,-1.3,26,5.3,2000,-18.3,0.18,0,0,2
807,18,-2.1,29,3.9,2000,-17.7,0,0,0,2
568,19,-2.9,32,3.2,2000,-17.3,0,0,0,2
398,20,-3.6,38,3,2000,-15.8,0,0,0,2
397,21,-4.6,43,4.5,2000,-15.3,0,0,0,2
353,22,-5.3,45,2.5,2000,-15.3,0,0,0,2
248,23,-5.8,44,2.4,2000,-16.1,0,0,0,2
216,0,-6.1,42,2.6,2000,-16.9,0,0,0,2
198,1,-6.5,41,2.8,2000,-17.6,0,0,0,2
124,2,-6.8,41,2.5,2000,-17.8,0,0,0,2
62,3,-6.9,39,2,2000,-18.5,0,0,0,2
42,4,-7.2,34,3,2000,-20.4,0,0,0,2
82,5,-7.4,33,2.6,2000,-20.9,0,0,0,2
172,6,-7.4,34,3.2,2000,-20.6,0,0,0,2
381,7,-7.5,33,2.2,2000,-21,0,0,0,2
812,8,-8.1,36,1.6,2000,-20.5,0.01,0,0,2
462,9,-7.6,31,1.3,1974,-21.8,0.21,0,0,2
269,10,-5.5,26,2.8,1967,-22,0.64,0,0,2
334,11,-3.9,25,0,1959,-21,0,0,0,2
321,12,-2.3,25,0,1962,-19.7,0,0,0,2
325,13,-1.6,27,0,1955,-18.2,0,0,0,2
334,14,-1.1,28,0,2000,-17.3,0,0,0,2
353,15,-0.7,28,0,2000,-16.9,0,0,0,2
435,16,-0.5,30,0,2000,-16,0,0,0,2
529,17,-1.6,35,0,2000,-15.1,0,0,0,2
789,18,-2.6,40,0,2000,-14.4,0,0,0,2
597,19,-3.2,45,0,2000,-13.5,0,0,0,2
418,20,-3.5,46,0,2000,-13.4,0,0,0,2
415,21,-3.7,47,0,2000,-13.3,0,0,0,2
393,22,-2.8,49,0,2000,-12,0,0,0,2
244,23,-2.5,59,0,1210,-9.4,0,0,0,2
145,0,-2.8,77,0,331,-6.2,0,0.1,0.1,2
144,1,-3,79,0,293,-6.1,0,0,0.3,2
117,2,-3,79,0,1862,-6.1,0,0,0.4,2
78,3,-3.2,78,0,1808,-6.4,0,0.2,0.4,2
58,4,-3.4,75,0,1982,-7.2,0,0,0.4,2
87,5,-3.6,76,0,1934,-7.2,0,0,0.4,2
142,6,-3.7,76,0,1864,-7.3,0,0,0.4,2
379,7,-4.2,77,0,1741,-7.6,0,0,0.3,2
802,8,-4.2,78,0,1518,-7.4,0.01,0,0.2,2
440,9,-3.3,70,0,1324,-7.9,0.25,0,0.2,2
307,10,-0.9,64,0,1224,-6.8,0.63,0,0.2,2
381,11,1.6,57,1.2,1261,-6,0.93,0,0,2
405,12,2.4,52,0.9,1224,-6.4,1.08,0,0,2
442,13,4.2,47,1.1,1469,-6.1,1.1,0,0,2
416,14,5.5,34,1,1966,-9.1,0.96,0,0,2
412,15,5.5,31,3.1,1968,-10.3,0.72,0,0,2
496,16,5.3,37,2.9,2000,-8.2,0.36,0,0,2
239,17,4.1,60,2.5,1565,-2.9,0.1,0,0,2
204,18,1.7,90,1,66,0.2,0,0.3,0.3,2
205,19,1.2,92,0.7,180,0,0,0,1,2
190,20,1.2,94,0.6,228,0.3,0,0,1,2
165,21,1.1,92,0.5,235,0,0,0.7,1,2
222,22,1.3,92,0.6,233,0.1,0,0,1,2
193,23,1.3,92,0.6,209,0.1,0,0,1,2
198,0,1.4,92,0.5,240,0.2,0,0,0.9,2
218,1,1.5,92,0.4,227,0.3,0,0,0.9,2
149,2,1.4,92,0.7,168,0.2,0,0,0.9,2
102,3,1.9,91,1.4,218,0.5,0,0,0.9,2
62,4,1.6,92,0.7,119,0.4,0,0,0.9,2
83,5,1.5,92,1.1,175,0.3,0,0,0.9,2
137,6,1,93,0.5,148,0,0,0,0.9,2
367,7,0.3,93,0.5,173,-0.7,0,0,0.9,2
754,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8,2
415,9,0.1,91,0.8,265,-1.1,0.14,0,0.8,2
321,10,1.1,83,0.7,311,-1.4,0.41,0,0.7,2
333,11,2.3,69,1.7,628,-2.8,0.63,0,0.6,2
431,12,3.7,65,2.4,833,-2.2,0.98,0,0.3,2
394,13,4.1,37,3.1,1767,-9.3,1.14,0,0,2
390,14,4.4,36,2.7,1975,-9.4,1.04,0,0,2
430,15,4,35,3.1,1962,-10.1,0.84,0,0,2
471,16,3.2,38,2.9,1817,-9.7,0.51,0,0,2
552,17,2.1,50,2,1434,-7.2,0.15,0,0,2
795,18,0.7,46,2.7,1558,-9.6,0,0,0,2
507,19,-0.4,47,2.5,1269,-10.3,0,0,0,2
390,20,-1.4,47,2.5,1620,-11.2,0,0,0,2
402,21,-2.2,46,2.2,1975,-12.2,0,0,0,2
389,22,-2.7,48,2.6,1844,-12.2,0,0,0,2
259,23,-3.2,50,2.1,1887,-12.1,0,0,0,2
233,0,-3.5,49,2.6,1893,-12.6,0,0,0,2
230,1,-3.7,50,2.5,1902,-12.6,0,0,0,2
131,2,-4.3,53,1,1918,-12.4,0,0,0,2
99,3,-4.8,52,1.6,1978,-13.1,0,0,0,2
71,4,-5.3,53,2.4,1936,-13.4,0,0,0,2
84,5,-5.8,56,2,1941,-13.1,0,0,0,2
158,6,-6,56,3.5,1853,-13.3,0,0,0,2
387,7,-6.5,57,0.8,1776,-13.6,0,0,0,2
780,8,-7,59,0.8,1559,-13.6,0.01,0,0,2
395,9,-6.7,50,0.9,1492,-15.4,0.23,0,0,2
261,10,-5.3,44,2.8,1516,-15.6,0.63,0,0,2
310,11,-3.7,39,1.4,1595,-15.6,0.93,0,0,2
355,12,-2,30,1.4,1728,-17.3,1.14,0,0,2
354,13,-1.7,28,1.8,1963,-17.8,1.22,0,0,2
350,14,-1.3,27,3.1,1906,-17.9,1.12,0,0,2
362,15,-0.8,26,3.3,1977,-17.9,0.87,0,0,2
401,16,-1.1,24,3.4,2000,-19.1,0.56,0,0,2
500,17,-2.4,30,2.7,2000,-17.6,0.18,0,0,2
752,18,-3.1,33,1.2,2000,-17.1,0,0,0,2
477,19,-3.3,35,1.1,2000,-16.6,0,0,0,2
384,20,-3.3,34,1.5,2000,-16.9,0,0,0,2
336,21,-3.3,35,0.5,2000,-16.6,0,0,0,2
347,22,-3.4,39,1.2,2000,-15.4,0,0,0,2
275,23,-3.5,43,0.9,2000,-14.3,0,0,0,2
267,0,-3.5,48,0.9,1967,-12.9,0,0,0,2
296,1,-4.1,49,0.6,2000,-13.2,0,0,0,2
237,2,-4.7,50,0.7,1983,-13.5,0,0,0,2
169,3,-4.3,47,0.6,1992,-13.9,0,0,0,2
96,4,-4.3,49,0.7,2000,-13.4,0,0,0,2
56,5,-4.7,49,0.8,1999,-13.8,0,0,0,2
76,6,-5.1,53,0.9,1975,-13.2,0,0,0,2
127,7,-5.5,56,0.8,1950,-12.9,0,0,0,2
222,8,-5.4,56,0.7,1940,-12.8,0.01,0,0,2
291,9,-4.7,48,1,1784,-14,0.23,0,0,2
273,10,-2.2,42,1.3,1646,-13.4,0.61,0,0,2
351,11,0,45,1.1,1500,-10.5,0.89,0,0,2
427,12,2.4,40,0.8,1809,-9.8,1.05,0,0,2
431,13,3.9,36,2,1702,-9.8,1.13,0,0,2
486,14,4.7,32,2.2,1948,-10.6,1.06,0,0,2
569,15,5.2,30,2,1963,-11,0.84,0,0,2
546,16,4.4,33,1.6,1963,-10.5,0.4,0,0,2
481,17,3.5,37,1.8,1963,-9.8,0.1,0,0,2
384,18,2.5,41,1,1974,-9.4,0,0,0,2
275,19,1.5,48,0.4,1878,-8.3,0,0,0,2
298,20,0.8,51,1.4,1848,-8.2,0,0,0,2
321,21,-0.1,55,0.7,1654,-8,0,0,0,2
289,22,-0.5,55,0.6,1655,-8.4,0,0,0,2
265,23,-0.1,54,1.3,1570,-8.3,0,0,0,2
326,0,-0.2,55,1,1629,-8.1,0,0,0,2
280,1,-0.2,54,0.5,1747,-8.4,0,0,0,2
243,2,0.2,52,0.7,1726,-8.5,0,0,0,2
169,3,0.3,53,0.5,1748,-8.1,0,0,0,2
71,4,0.4,52,1.6,1816,-8.3,0,0,0,2
13,5,0.3,74,1,178,-3.7,0,0,0.7,2
9,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7,2
20,7,-0.4,92,1.1,121,-1.5,0,0,4,2
35,8,-0.2,90,1.2,378,-1.6,0,0,4.1,2
31,9,0.2,90,1,305,-1.2,0,1.6,4.3,2
19,10,0.5,91,0.4,143,-0.8,0,0,4.3,2
58,11,0.9,92,0.9,137,-0.2,0.03,0,3.9,2
119,12,2.3,88,0.3,245,0.5,0.28,0,3.1,2
182,13,3.3,87,1.1,230,1.3,0.54,0,2.1,2
235,14,4.2,85,0.7,325,1.8,0.65,0,1.4,2
180,15,6.7,63,4.5,715,0.1,0.35,0,1,2
214,16,5.4,71,3.5,622,0.5,0.2,0,0.5,2
226,17,3.6,65,4.3,1061,-2.3,0.03,0,0.4,2
210,18,2,61,3,2000,-4.7,0,0,0,2
181,19,1.6,53,4,2000,-6.9,0,0,0,2
165,20,0.6,57,3.9,1954,-6.9,0,0,0,2
167,21,0,59,3,1862,-7,0,0,0,2
152,22,-1,56,4.7,2000,-8.6,0,0,0,2
148,23,-1.4,43,4.3,2000,-12.3,0,0,0,2
125,0,-2.5,39,3.4,2000,-14.5,0,0,0,2
111,1,-3.4,36,3.8,2000,-16.3,0,0,0,2
67,2,-4.2,35,3.4,2000,-17.4,0,0,0,2
45,3,-4.7,38,2.4,2000,-16.8,0,0,0,2
44,4,-5.2,35,3.2,2000,-18.3,0,0,0,2
86,5,-5.6,38,3.2,1974,-17.6,0,0,0,2
136,6,-5.9,39,2.9,1979,-17.6,0,0,0,2
325,7,-6,39,3.1,1996,-17.7,0,0,0,2
653,8,-6,38,3.6,1994,-18,0.01,0,0,2
326,9,-5.9,36,5.1,1941,-18.6,0.1,0,0,2
212,10,-5.3,32,4.5,2000,-19.4,0.62,0,0,2
226,11,-4.7,36,3.8,2000,-17.5,1,0,0,2
247,12,-5.2,33,4.6,1973,-19,1.26,0,0,2
241,13,-5.4,32,5.1,1986,-19.5,1.24,0,0,2
253,14,-5.4,31,4.1,1945,-19.9,1.13,0,0,2
269,15,-5.5,33,4.5,2000,-19.2,0.92,0,0,2
277,16,-6,40,4,2000,-17.4,0.55,0,0,2
361,17,-7.1,44,4.2,2000,-17.3,0.18,0,0,2
557,18,-7.9,43,3.3,2000,-18.3,0,0,0,2
371,19,-8.6,45,3.9,2000,-18.4,0,0,0,2
254,20,-9.3,49,3.8,2000,-18,0,0,0,2
266,21,-9.7,51,2.5,2000,-17.9,0,0,0,2
222,22,-10.2,50,3,2000,-18.6,0,0,0,2
174,23,-10.7,53,1.2,2000,-18.4,0,0,0,2
133,0,-11,51,1.1,2000,-19.1,0,0,0,2
127,1,-11.2,51,1.1,2000,-19.3,0,0,0,2
95,2,-11.5,50,0.7,2000,-19.8,0,0,0,2
54,3,-11.6,50,2.2,1995,-19.9,0,0,0,2
46,4,-11.6,47,2.1,1982,-20.6,0,0,0,2
65,5,-11.6,45,2.8,1951,-21.1,0,0,0,2
104,6,-11.8,47,2.5,1973,-20.8,0,0,0,2
280,7,-12.1,50,2.3,1929,-20.4,0,0,0,2
580,8,-12.3,52,1.3,1914,-20.1,0,0,0,2
275,9,-11.8,46,2.9,1956,-21.1,0.1,0,0,2
184,10,-10.5,45,3.3,1855,-20.1,0.6,0,0,2
201,11,-9.4,42,3.1,1815,-19.9,0.93,0,0,2
228,12,-8.3,35,2.9,1967,-21,1.14,0,0,2
225,13,-6.9,37,2.4,1955,-19.1,1.22,0,0,2
258,14,-5.4,32,2,1930,-19.5,1.12,0,0,2
250,15,-5.8,30,2.8,2000,-20.6,0.92,0,0,2
248,16,-6,29,2.8,1983,-21.2,0.58,0,0,2
305,17,-7,32,2.6,2000,-20.9,0.19,0,0,2
529,18,-7.7,36,1,2000,-20.2,0,0,0,2
350,19,-8.2,43,1.1,2000,-18.5,0,0,0,2
260,20,-8.4,42,1,2000,-19,0,0,0,2
270,21,-8.8,43,1.4,1999,-19.1,0,0,0,2
256,22,-9,45,1.3,1999,-18.7,0,0,0,2
173,23,-9.3,47,2.1,2000,-18.5,0,0,0,2
168,0,-9.5,48,1.3,1996,-18.4,0,0,0,2
183,1,-10.2,52,1.6,1997,-18.2,0,0,0,2
120,2,-10.4,53,1.8,1949,-18.1,0,0,0,2
79,3,-10.9,55,1.8,1913,-18.1,0,0,0,2
41,4,-11.4,58,1.3,1907,-18,0,0,0,2
68,5,-11.5,58,1.1,1923,-18.1,0,0,0,2
109,6,-11.9,57,1.1,1974,-18.7,0,0,0,2
310,7,-11.7,53,1.6,1998,-19.3,0,0,0,2
591,8,-11.4,47,3.3,2000,-20.4,0,0,0,2
340,9,-11.1,46,3.4,1981,-20.4,0.1,0,0,2
202,10,-9.5,39,2.1,1875,-20.9,0.6,0,0,2
251,11,-8.1,35,1.8,1806,-20.9,0.96,0,0,2
267,12,-6.5,30,2.9,1945,-21.2,1.17,0,0,2
251,13,-5.8,28,2.9,1887,-21.4,1.23,0,0,2
240,14,-4.7,27,2.9,1883,-20.8,1.12,0,0,2
240,15,-4.9,26,3.1,1887,-21.5,0.89,0,0,2
278,16,-4.5,26,2.2,2000,-21.1,0.56,0,0,2
392,17,-5.6,29,1.7,2000,-20.8,0.18,0,0,2
537,18,-6.6,33,1.1,2000,-20.2,0,0,0,2
373,19,-6.6,31,1.6,2000,-20.9,0,0,0,2
263,20,-7.6,35,0.8,2000,-20.4,0,0,0,2
271,21,-8.3,39,1,2000,-19.8,0,0,0,2
271,22,-8.9,39,0.1,2000,-20.3,0,0,0,2
174,23,-9.2,44,0.4,1978,-19.2,0,0,0,2
171,0,-9.5,50,0.6,1953,-18,0,0,0,2
170,1,-9.8,48,0.8,2000,-18.7,0,0,0,2
107,2,-10.6,44,0.8,1903,-20.5,0,0,0,2
80,3,-10.7,48,0.4,1651,-19.6,0,0,0,2
52,4,-11,50,0.8,1718,-19.4,0,0,0,2
62,5,-10.8,48,0.8,1648,-19.6,0,0,0,2
108,6,-11,55,0.8,1541,-18.2,0,0,0,2
279,7,-10.9,57,1.1,1387,-17.7,0,0,0,2
621,8,-10.4,54,1.1,1432,-17.9,0.01,0,0,2
305,9,-9.4,44,0.5,1680,-19.4,0.13,0,0,2
189,10,-7.7,43,0.9,1555,-18.1,0.35,0,0,2
247,11,-6.1,38,1,1587,-18.1,0.52,0,0,2
278,12,-4.9,34,1.3,1768,-18.3,0.6,0,0,2
282,13,-3.8,32,0.9,1827,-18.1,0.52,0,0,2
294,14,-2.7,28,0.7,1857,-18.7,0.65,0,0,2
301,15,-2.5,29,1.1,1667,-18.1,0.48,0,0,2
335,16,-2.4,28,0.9,1878,-18.4,0.35,0,0,2
382,17,-2.9,31,0.6,1723,-17.7,0.09,0,0,2
612,18,-3.5,35,1.1,1414,-16.7,0,0,0,2
410,19,-4.2,40,0.9,1216,-15.8,0,0,0,2
277,20,-4.8,43,1.1,1397,-15.4,0,0,0,2
316,21,-4.8,45,0.8,1351,-14.9,0,0,0,2
309,22,-4.9,44,1.1,1369,-15.3,0,0,0,2
211,23,-5.6,53,1.2,1290,-13.6,0,0,0,2
227,0,-5.7,53,0.6,1262,-13.7,0,0,0,2
241,1,-6.3,57,0.4,1148,-13.4,0,0,0,2
162,2,-6.8,58,0.4,1089,-13.6,0,0,0,2
110,3,-6.9,56,0.5,1111,-14.2,0,0,0,2
69,4,-7.1,59,0.8,1058,-13.7,0,0,0,2
68,5,-7.5,64,0.9,989,-13.1,0,0,0,2
129,6,-7.4,64,0.7,906,-13,0,0,0,2
285,7,-7,63,0.6,865,-12.8,0,0,0,2
658,8,-6.6,64,1.1,791,-12.2,0,0,0,2
330,9,-5.9,60,0.6,691,-12.4,0.09,0,0,2
221,10,-4.6,52,0.8,648,-12.9,0.34,0,0,2
279,11,-2.9,46,1,809,-12.9,0.42,0,0,2
309,12,-2.5,43,0.7,895,-13.3,0.34,0,0,2
325,13,-1.6,40,0.3,868,-13.4,0.32,0,0,2
329,14,-0.7,39,0.8,826,-12.9,0.35,0,0,2
342,15,0.1,35,1.5,946,-13.5,0.42,0,0,2
354,16,0,37,0.6,994,-12.9,0.13,0,0,2
464,17,-0.2,39,0.8,1016,-12.5,0,0,0,2
682,18,0.1,43,0.9,1485,-11,0,0,0,2
451,19,0.6,41,1.2,1550,-11.1,0,0,0,2
320,20,0.9,42,1.2,1113,-10.5,0,0,0,2
300,21,0.7,47,2.7,1283,-9.3,0,0,0,2
296,22,-0.1,49,2,870,-9.5,0,0,0,2
247,23,-1.3,60,2.5,792,-8,0,0,0,2
217,0,-2.6,73,3.4,787,-6.7,0,0,0,2
302,1,-3.4,76,2.9,582,-7,0,0,0,2
228,2,-4.1,73,2.1,567,-8.2,0,0,0,2
129,3,-4.5,71,1.6,651,-8.9,0,0,0,2
80,4,-5,70,2.7,702,-9.6,0,0,0,2
45,5,-5.6,72,2,662,-9.8,0,0,0,2
66,6,-6.1,69,2.9,765,-10.8,0,0,0,2
90,7,-6.7,64,2.1,977,-12.3,0,0,0,2
190,8,-7.3,62,2.6,1112,-13.3,0,0,0,2
195,9,-7.2,47,2.8,1724,-16.6,0.18,0,0,2
201,10,-6.2,42,2.3,1893,-17,0.52,0,0,2
239,11,-5.2,30,4,1991,-20.1,0.86,0,0,2
252,12,-4.1,28,3.8,1998,-19.9,1.08,0,0,2
296,13,-3.7,23,4,1980,-21.8,1.12,0,0,2
292,14,-3.4,22,4.3,1966,-22.1,1.07,0,0,2
291,15,-3.3,22,5,2000,-22,0.86,0,0,2
258,16,-3.3,24,3.5,2000,-21,0.54,0,0,2
277,17,-4.6,26,2.6,2000,-21.2,0.17,0,0,2
212,18,-5.3,28,3.5,2000,-21,0,0,0,2
173,19,-6,32,2.4,2000,-20,0,0,0,2
143,20,-6.6,37,3.4,2000,-18.9,0,0,0,2
159,21,-7.1,39,3.2,2000,-18.7,0,0,0,2
155,22,-7.6,41,1.6,2000,-18.6,0,0,0,2
142,23,-8,41,2.2,2000,-18.9,0,0,0,2
175,0,-8.1,41,2,2000,-19,0,0,0,2
146,1,-8.4,40,1.6,2000,-19.6,0,0,0,2
132,2,-8.7,40,2.8,2000,-19.8,0,0,0,2
100,3,-9,40,3.1,2000,-20.1,0,0,0,2
41,4,-9.5,40,1.9,2000,-20.6,0,0,0,2
31,5,-9.7,41,3.1,2000,-20.5,0,0,0,2
39,6,-9.9,42,2.3,2000,-20.4,0,0,0,2
53,7,-10.2,42,2.3,2000,-20.6,0,0,0,2
94,8,-10.7,43,0.9,2000,-20.8,0,0,0,2
122,9,-10.5,38,1.1,1950,-22.1,0.19,0,0,2
142,10,-8.5,31,1.5,1997,-22.6,0.58,0,0,2
189,11,-7.2,29,1.8,1926,-22.2,0.88,0,0,2
216,12,-4.9,25,2.6,1966,-21.9,1.08,0,0,2
223,13,-4.5,25,3.2,1989,-21.6,1.14,0,0,2
268,14,-3.2,26,3.1,1933,-20,1.07,0,0,2
278,15,-2.5,28,2,2000,-18.5,0.85,0,0,2
256,16,-2.7,31,2.3,2000,-17.5,0.54,0,0,2
266,17,-3.8,35,2.4,2000,-17,0.17,0,0,2
204,18,-4.7,37,1.8,2000,-17.2,0.01,0,0,2
157,19,-5.6,39,1.1,2000,-17.3,0,0,0,2
166,20,-6,42,0.8,2000,-16.8,0,0,0,2
168,21,-6.5,45,0.7,2000,-16.4,0,0,0,2
172,22,-6.6,50,0.6,1990,-15.3,0,0,0,2
138,23,-6.9,53,0.7,2000,-14.8,0,0,0,2
151,0,-5.9,50,0.6,2000,-14.6,0,0,0,2
97,1,-5.3,48,0.4,1664,-14.6,0,0,0,2
38,2,-5,65,0.4,990,-10.5,0,0,0.2,2
32,3,-5.3,76,1,767,-8.8,0,0.3,0.5,2
29,4,-5.4,81,0.7,270,-8.1,0,0,0.7,2
27,5,-5.3,81,0.9,923,-8,0,0,0.8,2
45,6,-5.2,85,0.9,271,-7.3,0,0.4,1.3,2
96,7,-5,85,0.7,186,-7.1,0,0,1.8,2
146,8,-4.6,86,1.2,508,-6.5,0,0,2,2
52,9,-4.3,89,1,59,-5.8,0,1.6,4,2
36,10,-3.7,87,1,541,-5.5,0.03,0,4.8,2
44,11,-2.9,85,1.2,243,-5,0.06,0,4.8,2
62,12,-1.8,83,1.2,351,-4.3,0.09,1.1,5.1,2
76,13,-0.9,84,1.2,333,-3.2,0.09,0,5,2
116,14,0.5,76,0.9,364,-3.2,0.17,0,4.2,2
137,15,1.6,73,0.9,421,-2.7,0.6,0,3.2,2
181,16,1.8,76,0.8,410,-1.9,0.47,0,2.7,2
175,17,0.4,84,0.8,317,-1.9,0.15,0,2.7,2
281,18,0,88,0.6,277,-1.7,0,0,2.7,2
198,19,1.3,65,1.1,1122,-4.5,0,0,2.7,2
165,20,3.3,65,3.2,1172,-2.6,0,0,2.7,2
148,21,2.8,73,2.4,831,-1.5,0,0,2.6,2
160,22,1.5,82,2.4,537,-1.2,0,0,2.6,2
128,23,0.1,81,2.9,551,-2.7,0,0,2.6,2
122,0,-1,73,2.3,881,-5.2,0,0,2.6,2
122,1,-2,72,0.8,979,-6.3,0,0,2.6,2
93,2,-2.7,72,0.9,990,-7,0,0,2.6,2
55,3,-2.8,58,1.6,1315,-9.9,0,0,2.6,2
39,4,-2.9,59,1.8,1286,-9.8,0,0,2.6,2
55,5,-3.9,66,0.7,1209,-9.3,0,0,2.6,2
78,6,-4.3,70,1.6,1169,-8.9,0,0,2.6,2
165,7,-4.4,64,2.8,1367,-10.1,0,0,2.6,2
390,8,-5.2,58,2.2,1594,-12.1,0,0,2.5,2
199,9,-5.3,48,2.6,1810,-14.6,0.18,0,2.5,2
151,10,-4.6,41,2.8,1815,-15.8,0.57,0,2.5,2
174,11,-3.5,35,2.2,1742,-16.7,0.87,0,2.5,2
191,12,-2.5,31,2.6,1778,-17.3,1.08,0,2.3,2
189,13,-2.2,25,3.2,1970,-19.6,1.17,0,2.2,2
178,14,-2.2,23,3.7,1971,-20.5,1.09,0,2.2,2
195,15,-1.3,26,3,2000,-18.3,0.91,0,2.1,2
211,16,-1.8,31,3.1,1993,-16.7,0.56,0,2,2
