f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f34;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f45;f46;f47;f48;f49;f50;f51;f52;f53;f54;f55;f56;f57;label
32.22;13.96;38.11;34.61;16.75;5.68;37.27;20.5;32.39;40.07;40.56;28.44;27.25;20.43;27.96;17.23;30.59;22.67;26.47;31.95;42.04;29.39;0.76;22.67;38.58;45.96;33.15;26.69;24.37;25.33;40.06;25.72;6.61;57.66;32.91;32.13;30.75;43.72;48.02;37.98;40.09;25.23;31.91;39.13;30.52;36.19;22.1;32.05;35.4;49.41;34.15;46.0;8.93;18.38;42.36;17.5;49.7;0
70.96;35.47;64.94;51.24;43.81;51.96;32.73;23.85;41.65;42.47;52.57;54.39;77.68;25.09;45.88;51.71;66.29;69.87;64.11;50.65;61.96;63.9;27.87;35.78;34.86;45.28;50.2;56.61;62.84;18.46;39.82;20.1;10.46;48.05;27.87;33.16;54.56;38.04;35.02;28.08;26.49;20.94;53.33;44.72;42.31;28.81;39.84;40.5;46.44;9.17;39.61;50.32;29.5;21.01;29.42;31.85;44.18;1
67.78;18.72;56.18;49.12;49.23;59.91;59.63;43.27;55.81;42.3;42.48;35.92;60.34;29.51;37.81;50.68;47.41;55.51;48.94;39.09;41.95;53.77;18.58;42.69;33.52;60.99;58.14;70.67;52.87;44.29;54.86;44.54;35.05;46.32;29.43;26.1;37.1;32.2;43.05;31.18;34.5;40.91;62.34;48.45;33.72;20.22;25.07;12.62;47.4;51.65;40.18;43.4;32.48;32.99;31.17;30.73;18.33;1
41.34;25.17;55.59;65.08;47.89;66.44;55.51;30.33;32.32;45.13;52.27;25.84;76.4;22.26;40.21;51.21;65.15;46.3;62.83;38.75;55.36;58.98;34.07;58.32;38.59;99.13;39.17;53.4;61.83;34.17;39.75;28.94;48.15;25.7;29.3;26.81;49.75;20.54;19.48;25.38;27.39;36.4;11.58;49.07;53.41;19.51;32.44;11.14;41.93;12.52;43.12;27.22;21.41;31.14;22.87;24.15;43.79;1
28.06;14.14;29.22;28.7;25.81;21.23;13.61;9.08;25.84;31.58;29.1;28.66;23.94;30.51;14.71;24.15;30.02;24.41;37.71;26.82;21.68;14.66;20.68;17.82;25.64;35.36;13.4;35.56;51.96;20.69;32.78;27.35;50.18;25.88;38.36;38.52;38.09;32.97;25.3;26.2;35.73;38.42;38.92;42.7;46.33;39.61;29.64;5.33;36.05;27.7;32.22;58.72;44.31;29.51;45.61;23.46;41.31;0
39.07;26.02;44.06;51.27;18.87;20.09;27.98;17.94;24.06;20.32;34.02;33.24;28.62;16.01;23.02;22.03;27.81;32.38;25.79;30.94;34.71;10.81;23.64;11.18;37.49;36.43;33.62;33.54;33.23;34.77;39.04;32.38;18.23;38.15;46.7;49.61;31.44;45.31;42.22;31.09;48.29;25.19;37.91;39.06;42.41;40.35;1.4;31.54;33.74;45.03;32.24;31.14;29.01;29.76;34.32;21.97;21.4;0
75.43;34.55;57.96;34.03;50.88;44.39;51.1;48.03;63.11;26.48;65.44;44.62;73.06;37.8;41.66;46.29;58.71;45.31;60.32;48.63;56.38;55.49;33.58;47.56;49.01;45.44;48.3;64.21;65.95;43.63;37.61;40.25;29.36;31.26;26.74;50.69;38.26;27.28;39.42;32.98;27.24;34.0;25.61;35.31;42.01;23.69;24.31;25.44;30.04;34.89;42.41;35.82;21.36;25.91;39.94;34.28;30.68;1
39.29;26.85;40.82;54.41;13.67;17.98;38.48;23.2;20.74;15.69;46.27;28.76;27.09;34.89;32.19;27.17;32.92;15.84;40.62;27.62;19.68;1.47;35.31;28.67;32.34;38.59;25.9;35.21;36.98;33.95;31.36;32.28;35.01;35.46;49.03;40.32;29.58;33.64;24.0;11.24;41.58;33.17;78.58;51.21;32.66;34.78;23.92;20.03;37.14;21.78;33.2;38.65;45.8;25.07;33.34;18.25;26.34;0
28.29;27.95;44.88;37.36;10.43;20.6;35.62;18.27;39.18;8.77;20.42;14.05;31.75;24.28;21.91;24.81;36.64;28.9;15.99;26.44;49.63;25.37;39.42;14.94;34.97;28.06;16.54;28.84;21.49;27.05;64.37;31.97;25.97;44.76;40.69;39.62;48.69;24.09;33.38;30.94;44.08;29.64;36.16;40.51;30.01;27.47;33.5;21.37;41.25;35.42;40.57;42.39;20.67;18.3;29.75;31.68;19.29;0
67.76;39.23;63.9;44.34;54.15;76.29;56.87;60.38;8.38;53.46;37.98;60.14;66.06;27.79;48.25;36.19;53.71;51.45;64.0;61.43;41.99;57.26;19.22;69.73;42.33;62.05;78.03;66.67;58.59;81.88;37.69;29.37;13.36;38.99;46.19;44.07;45.74;34.69;19.2;25.94;24.68;40.27;22.46;36.31;17.02;22.82;29.74;32.03;46.66;26.16;33.36;51.8;25.9;28.26;35.6;25.92;21.76;1
72.83;38.03;56.52;63.22;49.15;37.1;48.6;29.27;36.62;32.94;53.55;69.6;74.73;21.11;29.16;47.92;75.9;46.12;68.95;49.23;37.51;49.74;24.64;32.1;41.96;69.8;66.54;54.59;64.52;51.95;40.2;35.43;4.34;40.2;26.23;38.86;23.94;31.87;23.88;24.75;48.58;35.98;35.11;49.23;45.01;41.58;31.86;11.92;47.46;35.0;29.3;49.47;16.0;18.44;46.2;18.6;50.58;1
42.11;11.7;44.91;30.25;23.18;31.11;15.21;20.21;37.9;14.35;22.67;45.44;31.63;23.9;30.69;16.6;36.25;22.28;35.96;10.8;30.42;29.34;29.1;24.85;23.58;35.38;19.55;22.11;35.68;11.49;33.2;10.03;19.38;54.28;34.79;28.55;36.54;31.2;25.57;26.25;43.86;18.35;57.69;53.38;29.1;31.52;26.54;27.07;38.72;42.38;32.08;24.71;0.28;32.83;40.29;33.57;16.58;0
66.83;51.2;74.2;49.49;48.32;58.92;49.33;48.56;51.58;42.08;14.62;37.34;66.27;40.37;54.57;37.01;56.48;54.32;48.03;41.83;51.35;34.2;45.22;37.61;41.11;72.09;27.84;59.68;61.84;55.43;39.17;25.28;30.25;22.58;34.38;29.01;35.51;32.24;14.95;23.88;45.31;24.91;57.82;27.84;65.15;28.3;44.15;35.09;40.65;34.1;33.19;41.24;0.0;32.15;33.89;25.61;34.18;1
50.47;43.91;61.56;35.38;47.87;44.68;51.66;44.45;18.09;44.85;22.28;38.2;63.23;45.03;44.68;50.79;56.74;46.35;54.28;64.85;46.1;70.16;34.36;37.33;57.5;68.56;45.4;63.2;53.41;34.39;53.19;27.31;20.13;53.04;31.01;24.85;39.95;43.84;32.01;29.8;42.32;25.82;71.62;54.11;17.41;52.79;46.75;24.95;45.65;24.7;26.45;31.53;31.9;21.1;41.94;21.96;7.1;1
36.96;7.45;34.73;20.34;21.85;43.34;34.03;25.23;23.12;18.01;42.31;20.16;22.05;30.39;9.33;14.88;23.42;28.64;14.68;36.03;42.23;32.52;28.3;20.07;23.11;46.39;17.99;34.59;31.58;29.44;46.69;24.5;52.94;35.76;18.72;19.49;31.31;27.42;28.58;29.4;37.39;27.14;47.8;46.21;11.39;33.1;21.35;27.28;35.58;11.83;37.71;36.47;31.08;19.55;32.81;19.27;71.29;0
61.12;41.61;61.5;48.28;49.26;44.3;56.27;31.49;32.49;46.64;54.46;33.54;65.51;16.48;72.17;39.61;55.19;44.69;53.49;36.91;66.0;63.63;37.98;54.16;53.79;53.48;42.43;67.89;66.68;53.64;41.07;25.57;32.76;47.88;54.73;37.26;45.98;28.09;49.2;33.76;46.27;37.78;14.3;28.8;56.32;15.98;15.73;43.7;44.3;29.15;38.66;32.42;19.16;22.25;37.73;31.29;61.89;1
69.07;62.38;65.31;59.37;55.21;49.29;63.91;48.33;58.37;41.0;62.13;19.5;55.08;51.68;51.57;47.96;43.86;44.29;65.42;32.04;44.34;53.6;51.96;40.69;47.98;69.7;46.82;73.29;56.08;54.56;37.61;48.02;36.89;57.66;25.94;35.09;28.33;33.2;19.25;33.04;39.83;40.38;26.65;44.51;47.12;40.31;30.32;19.28;46.79;46.91;30.72;33.58;37.62;24.47;26.08;17.3;37.26;1
62.64;46.81;58.9;75.03;70.49;40.85;66.74;50.33;36.59;45.91;54.75;24.02;87.0;55.53;41.16;39.58;48.56;46.76;67.21;52.28;65.09;41.07;58.23;57.69;51.76;76.07;63.63;73.6;87.44;86.45;49.85;33.27;23.38;42.18;30.11;21.47;27.09;37.79;35.31;29.09;34.06;34.4;31.08;34.16;29.21;42.12;37.41;41.3;40.76;40.59;44.77;54.99;40.18;41.58;48.84;24.03;48.07;1
76.78;50.51;74.03;47.02;41.93;49.44;55.2;39.04;75.77;61.14;27.84;53.35;33.7;22.77;56.71;51.42;48.22;44.72;55.76;56.48;50.55;55.2;64.63;31.26;38.04;45.85;56.23;58.82;71.55;18.55;32.7;13.65;39.55;45.97;28.99;42.62;38.64;41.67;35.24;29.66;29.95;40.68;35.29;38.15;27.22;44.44;20.24;14.13;38.81;33.43;38.46;38.13;19.47;4.77;31.38;29.33;31.48;1
35.46;11.98;37.93;54.82;16.17;20.05;32.49;24.61;27.36;40.89;19.64;4.41;36.76;11.84;9.92;14.87;31.63;23.6;47.06;22.32;31.78;26.97;14.09;25.26;32.92;41.13;30.75;30.93;29.31;50.91;36.93;10.97;35.87;50.95;40.68;22.38;39.89;33.71;15.57;25.86;26.89;20.42;21.25;30.66;21.56;26.03;14.64;18.02;53.87;48.96;37.41;25.88;8.63;37.8;52.03;30.48;55.99;0
36.14;22.85;31.0;8.01;23.11;26.07;25.98;32.01;7.06;29.26;27.57;5.46;33.82;36.0;22.51;21.71;35.87;32.37;28.84;25.38;15.34;22.4;19.16;17.91;38.48;13.76;22.88;34.41;29.42;27.21;41.78;41.73;24.21;52.66;43.34;18.17;33.69;21.9;0.0;22.04;22.19;27.65;19.88;51.78;46.19;37.61;31.91;16.04;36.01;35.34;38.6;52.42;24.5;47.81;27.66;29.83;34.51;0
66.83;44.04;71.64;53.76;61.82;73.17;39.56;54.71;62.62;64.1;61.24;39.13;65.41;20.15;46.78;55.86;67.71;39.31;60.29;43.25;47.92;47.14;40.43;64.84;39.72;49.61;44.94;56.34;63.5;55.17;46.28;17.16;5.23;70.02;21.82;18.82;37.57;32.63;24.74;28.61;44.66;17.2;29.48;26.9;37.31;33.79;33.73;39.66;39.58;11.78;32.12;54.79;23.97;16.72;43.65;30.0;43.63;1
42.85;31.83;40.67;28.68;18.29;24.45;26.17;25.9;36.57;32.27;17.44;7.45;35.5;30.25;16.61;10.44;29.65;25.95;41.55;35.41;45.82;31.13;40.91;15.08;30.71;16.11;32.06;34.24;21.33;28.59;63.38;24.67;34.95;35.64;30.24;39.86;47.03;29.19;50.84;21.26;53.89;37.15;39.26;26.26;46.01;37.29;60.07;26.77;46.39;23.62;29.4;39.9;24.13;25.74;34.49;27.86;32.49;0
18.96;17.66;28.87;45.64;25.15;28.96;28.2;27.64;31.72;33.79;33.58;32.62;41.17;20.05;23.09;24.44;33.48;29.55;36.39;26.06;11.87;23.42;32.42;24.72;19.83;34.86;24.58;37.96;34.76;31.48;31.46;21.07;36.73;42.29;31.01;32.79;38.13;31.47;40.8;32.49;37.87;31.69;57.69;38.6;39.24;29.42;40.36;24.93;33.83;30.86;24.35;51.45;44.84;24.59;31.64;22.78;60.49;0
91.48;46.55;70.18;71.02;48.59;57.43;58.82;42.18;57.62;39.11;43.17;31.84;61.47;34.85;55.21;55.59;51.7;28.09;58.36;53.85;57.85;36.28;53.51;46.54;43.74;62.24;32.98;53.38;75.83;35.01;37.45;30.59;0.0;54.71;55.15;6.51;29.68;31.81;29.63;26.09;47.56;31.96;51.11;40.24;28.14;25.39;34.86;40.06;33.36;45.33;45.0;47.33;29.48;29.82;37.79;25.5;34.01;1
34.49;22.1;37.15;13.43;21.73;24.26;28.23;25.84;27.38;30.71;19.93;10.52;26.77;37.45;22.47;14.63;37.58;26.41;16.11;31.17;26.52;27.97;15.06;28.04;26.23;30.81;32.1;34.77;41.93;21.86;56.85;19.04;41.66;35.67;46.05;28.6;28.0;29.84;27.35;49.0;27.46;27.91;41.16;44.29;26.81;39.42;46.98;30.69;43.13;20.99;29.27;23.82;34.59;13.88;39.13;33.85;50.11;0
27.48;5.41;31.67;27.47;27.6;19.12;25.82;21.36;45.52;25.12;10.94;27.94;40.41;29.57;25.85;22.28;45.06;26.69;25.21;25.33;25.72;12.84;20.18;26.75;27.96;30.26;32.87;31.96;34.54;30.76;49.63;25.79;11.68;39.02;34.24;19.25;39.99;34.45;39.27;33.77;59.28;33.61;31.32;26.6;39.23;35.81;55.91;28.24;36.89;27.06;34.32;68.48;24.1;8.2;44.57;30.62;69.28;0
36.78;19.1;32.88;17.39;30.03;20.47;21.47;29.23;25.9;20.09;24.08;13.73;36.43;19.86;24.18;22.7;52.01;26.05;23.88;17.68;26.11;32.22;31.61;38.82;30.51;27.57;14.53;36.08;30.41;33.99;43.34;22.77;26.0;44.15;63.83;5.56;29.52;29.62;32.53;28.89;57.69;34.06;36.58;29.29;22.6;33.15;27.74;27.06;53.92;30.5;37.28;55.55;4.67;28.48;41.2;32.58;17.27;0
40.0;6.36;35.1;13.54;26.28;17.92;30.36;0.67;31.78;33.99;30.65;36.68;35.94;43.74;42.65;17.32;40.09;39.76;40.35;35.96;34.87;31.08;8.46;30.85;29.85;35.74;22.0;36.64;49.97;26.72;45.67;41.26;50.19;39.16;48.08;34.4;39.55;26.1;51.67;35.78;22.42;33.54;40.35;43.51;51.09;38.44;37.18;28.45;52.53;37.9;36.29;41.96;48.33;1.77;38.75;21.2;59.24;0
28.85;17.75;27.21;49.58;20.93;13.26;20.53;29.06;29.02;24.16;23.19;65.84;19.82;25.66;20.99;24.08;35.38;33.07;43.49;22.78;36.24;21.53;11.6;13.2;27.96;35.72;13.15;31.73;22.59;8.1;44.51;23.29;38.89;27.95;13.41;29.49;40.79;28.22;34.27;23.48;32.27;33.4;23.39;27.42;25.75;29.7;18.41;37.13;39.82;27.77;40.14;38.41;40.61;24.8;44.77;32.21;79.37;0
35.56;11.21;19.48;25.49;18.53;9.97;32.28;12.54;31.7;25.68;37.52;26.09;34.11;34.65;35.9;23.22;16.96;30.8;35.0;25.11;31.33;25.71;22.6;28.34;41.84;37.37;22.24;31.97;36.38;29.0;47.81;30.11;40.64;44.11;10.92;44.23;45.36;27.35;35.66;44.31;31.07;45.2;18.83;32.29;47.97;42.57;34.99;36.68;45.12;22.32;37.85;54.53;8.16;42.53;29.45;18.87;39.56;0
62.45;51.43;57.0;38.28;50.64;49.09;86.85;39.68;50.27;48.92;84.71;50.42;58.3;26.21;48.06;53.11;44.07;40.35;42.32;41.57;63.33;34.38;31.42;63.96;36.74;56.4;46.64;52.43;56.32;38.77;45.21;6.88;24.57;74.25;40.67;30.24;39.47;35.44;28.7;35.87;41.24;39.97;29.92;39.8;37.16;38.54;26.91;46.56;39.68;40.6;34.42;25.56;26.91;26.14;45.85;19.07;19.25;1
57.74;33.51;57.38;47.78;62.04;65.03;61.99;50.53;57.42;27.01;54.44;49.26;55.6;41.73;63.51;38.79;62.41;43.7;63.1;56.11;48.88;56.92;21.32;28.14;45.17;58.65;57.54;67.46;67.14;59.53;50.23;20.94;43.1;46.98;53.55;38.85;34.82;39.45;19.89;29.42;47.88;33.66;32.63;37.66;42.45;40.22;27.38;37.21;42.25;47.54;31.64;51.05;31.88;36.71;47.64;19.52;46.05;1
41.0;20.97;26.48;26.37;23.96;18.75;31.93;33.2;26.02;16.52;15.37;24.75;41.12;21.33;22.06;21.25;20.5;27.65;36.76;23.36;46.18;45.28;23.35;21.05;39.62;17.52;20.51;48.16;12.66;18.66;60.99;29.33;15.59;52.48;16.57;53.75;45.16;33.2;43.39;37.91;43.53;36.56;24.35;49.45;39.32;36.42;25.28;25.94;50.98;39.4;41.49;51.98;17.17;26.69;37.21;19.32;49.23;0
30.09;27.95;24.28;22.11;18.51;18.98;34.6;17.94;25.5;25.12;22.82;31.75;22.52;16.08;8.3;26.06;41.17;16.15;30.85;35.05;36.99;38.77;5.9;28.64;29.29;23.24;19.35;36.75;15.27;37.42;64.75;14.88;20.3;35.92;60.57;32.36;32.29;27.82;32.28;42.09;24.9;35.12;38.43;30.67;26.19;31.08;28.64;20.45;42.31;39.17;29.5;51.47;42.95;31.33;33.18;31.51;55.95;0
36.35;30.74;24.21;24.69;22.0;14.04;47.56;14.49;15.04;14.27;13.72;8.36;51.27;15.13;12.96;20.21;19.26;21.99;28.19;26.29;23.47;14.4;18.95;24.73;23.19;28.74;29.33;38.13;24.77;23.96;28.89;0.74;13.39;29.64;31.35;39.28;36.62;20.97;39.76;42.51;33.61;39.64;34.24;48.88;37.7;37.42;23.57;34.72;38.18;41.17;45.67;30.09;22.15;20.61;30.4;33.97;35.29;0
25.36;10.6;37.62;34.57;22.39;26.77;30.16;27.0;35.94;26.43;18.9;26.47;26.55;25.15;16.94;11.39;26.89;35.54;20.8;19.63;33.96;30.7;3.62;22.05;17.53;41.28;31.53;38.19;30.7;38.99;64.9;22.73;13.25;39.59;41.27;41.83;41.95;28.49;31.35;38.98;40.81;36.8;23.4;43.53;26.37;37.24;28.45;27.7;19.45;49.49;36.3;29.46;25.83;34.46;18.15;23.9;30.27;0
45.49;21.11;32.96;43.21;22.31;20.06;32.84;25.72;24.42;31.08;32.76;20.66;37.88;24.1;25.11;30.68;21.0;33.2;22.65;24.76;39.86;47.17;30.77;17.1;18.96;36.92;29.22;35.16;25.56;14.44;58.01;41.62;47.02;26.47;40.52;31.75;38.45;42.33;21.47;14.07;56.23;32.2;25.68;43.06;49.15;33.53;41.39;19.91;31.87;25.97;29.36;30.26;25.85;38.32;32.53;29.05;59.08;0
58.44;32.17;66.71;41.86;35.6;45.75;28.0;54.02;36.74;40.82;63.85;30.82;61.48;49.03;38.16;39.05;52.95;42.53;60.05;56.86;61.46;32.39;52.75;49.51;48.49;80.76;47.18;59.65;66.86;77.17;38.26;30.32;31.98;54.12;7.83;42.49;42.72;33.58;33.73;24.73;20.63;31.32;55.66;35.46;35.05;31.62;16.5;37.58;53.81;65.31;30.93;39.94;35.96;10.43;30.62;33.43;46.63;1
67.27;52.99;51.94;39.31;45.87;49.43;70.23;52.64;48.78;62.09;51.62;32.39;79.31;31.15;50.97;40.48;63.51;63.48;57.37;36.65;66.65;45.35;34.68;45.62;38.14;47.42;58.03;61.38;76.16;62.54;53.16;19.96;34.81;60.26;52.57;49.75;26.09;38.77;36.18;31.71;35.3;32.88;47.75;45.62;40.25;38.57;27.61;24.49;51.6;37.7;41.6;41.89;26.34;25.88;29.17;36.12;54.81;1
44.01;36.57;48.74;51.13;67.39;44.41;48.33;36.43;64.27;33.31;67.49;52.77;73.32;64.19;44.52;42.68;45.04;41.41;62.55;42.06;57.13;40.01;49.41;28.21;41.84;59.46;40.84;45.28;47.19;16.84;65.8;10.55;43.2;89.33;12.04;30.21;58.07;25.35;18.39;20.7;24.28;23.9;29.78;44.13;51.37;38.66;44.96;22.27;33.0;23.31;29.7;37.25;27.32;33.41;31.49;18.23;20.79;1
28.88;9.6;36.08;33.76;8.8;2.52;32.05;31.97;26.33;16.09;27.08;13.25;32.77;14.24;33.33;21.37;28.75;24.6;41.75;22.79;34.48;27.64;2.95;29.24;26.01;14.87;14.93;28.26;17.7;21.67;34.36;18.81;60.77;24.68;9.46;23.9;37.37;32.76;34.97;12.49;39.8;32.3;29.64;43.89;44.38;51.31;27.97;34.33;37.92;43.44;36.83;35.4;26.67;21.22;33.6;23.65;9.66;0
40.78;54.14;35.08;20.75;26.0;22.13;24.85;24.94;15.72;31.28;10.98;38.18;34.84;25.57;24.28;23.38;38.45;35.9;11.61;14.69;17.11;29.23;19.21;30.22;21.21;18.38;17.77;30.87;13.95;24.1;39.39;37.09;8.21;43.58;35.24;37.81;33.69;29.23;23.67;10.54;30.75;22.15;45.47;41.24;32.06;26.81;31.23;29.02;38.83;39.92;32.55;61.35;25.7;6.08;39.68;21.23;54.63;0
80.14;23.17;50.97;45.82;58.7;49.67;53.63;52.01;34.42;49.62;51.11;44.33;49.6;9.7;21.18;52.52;58.38;62.47;58.86;52.04;64.14;59.67;37.33;75.0;49.68;69.66;30.9;69.84;61.97;34.3;52.48;37.21;8.55;54.8;11.8;42.07;40.54;35.08;3.19;37.28;32.9;22.78;45.49;43.78;31.76;48.17;26.18;38.4;38.62;30.79;35.79;46.54;29.76;2.74;31.19;32.98;38.61;1
32.24;0.0;41.78;36.68;7.58;22.68;27.29;21.91;27.3;36.02;11.5;5.12;28.26;18.46;34.47;18.97;31.82;25.16;31.77;19.7;21.03;11.63;24.63;22.93;28.1;33.73;32.05;38.59;27.7;15.84;50.16;27.43;19.95;23.93;40.01;27.12;41.94;42.62;34.24;7.12;16.34;31.93;19.62;32.06;57.59;56.25;27.63;20.25;32.74;44.52;43.25;54.75;12.99;23.43;32.14;25.55;59.63;0
32.31;12.58;34.83;28.35;16.01;0.0;16.5;7.53;31.1;15.45;14.93;37.57;30.91;4.6;32.01;8.38;23.92;33.46;33.15;24.44;18.84;32.75;16.47;19.07;23.81;30.23;21.78;23.56;24.15;18.93;45.47;15.76;36.84;40.73;21.6;21.14;35.74;36.99;32.02;25.62;41.18;23.85;23.34;38.6;49.59;47.78;41.13;18.23;34.18;40.64;33.1;40.96;32.19;19.53;41.03;11.73;27.4;0
50.64;59.67;49.17;58.27;48.5;58.94;57.35;39.65;47.78;56.8;51.15;20.03;65.64;30.89;39.14;41.08;70.41;33.97;67.85;54.14;55.05;16.73;39.53;72.55;57.01;61.66;49.17;54.01;47.64;11.09;44.19;20.89;17.69;17.68;22.95;26.85;31.61;40.13;30.43;13.22;41.69;47.94;31.04;29.68;71.17;56.68;25.93;18.63;40.11;17.89;42.2;49.23;28.58;25.78;49.6;36.41;26.23;1
55.05;26.29;47.08;53.97;41.36;51.34;62.92;60.75;44.33;41.8;40.4;51.25;56.61;49.46;35.25;52.77;72.42;39.85;51.45;43.39;75.27;40.12;27.33;55.76;43.4;72.56;57.4;66.26;76.3;41.97;41.95;23.01;67.93;22.48;45.77;37.49;42.07;27.82;32.36;31.55;40.24;35.06;37.71;37.62;46.38;23.12;27.34;49.23;42.2;35.37;33.72;56.81;55.06;35.14;52.29;35.0;23.84;1
75.94;29.37;60.26;58.7;48.87;60.82;50.4;23.14;53.94;29.32;20.86;51.07;66.51;45.78;55.62;48.92;62.92;49.6;57.78;51.7;65.46;54.5;51.87;47.64;34.31;55.12;47.62;77.42;52.98;45.34;56.06;9.67;32.74;30.01;47.65;26.99;49.47;29.75;37.88;30.13;40.78;44.2;29.78;37.44;53.03;38.18;18.94;46.2;28.82;23.33;31.5;46.78;2.9;27.08;43.21;35.4;26.26;1
